bot,symbol,opened_at,closed_at,r_multiple,source,opened_dt,closed_dt,balance_before,risk_amount,pnl,balance_after
NewsPulse,BTCUSD,2026-06-18 18:00:00,2026-06-18 18:19:00,1.4116,strategy_suite,2026-06-18 18:00:00+00:00,2026-06-18 18:19:00+00:00,45.27,2.26,3.2,48.47
NewsPulse,US30,2026-06-18 18:00:00,2026-06-18 18:00:00,-1.1579,strategy_suite,2026-06-18 18:00:00+00:00,2026-06-18 18:00:00+00:00,48.47,2.42,-2.81,45.66
NewsPulse,US30,2026-06-19 12:30:00,2026-06-19 12:43:00,0.4053,strategy_suite,2026-06-19 12:30:00+00:00,2026-06-19 12:43:00+00:00,45.66,2.28,0.93,46.59
NewsPulse,BTCUSD,2026-06-19 14:00:00,2026-06-19 14:00:00,-1.1634,strategy_suite,2026-06-19 14:00:00+00:00,2026-06-19 14:00:00+00:00,46.59,2.33,-2.71,43.88
NewsPulse,US30,2026-06-19 14:00:00,2026-06-19 14:11:00,-1.0819,strategy_suite,2026-06-19 14:00:00+00:00,2026-06-19 14:11:00+00:00,43.88,2.19,-2.37,41.51
NewsPulse,XAGUSD,2026-06-19 14:00:00,2026-06-19 14:03:00,-1.1754,strategy_suite,2026-06-19 14:00:00+00:00,2026-06-19 14:03:00+00:00,41.51,2.08,-2.44,39.07
NewsPulse,BTCUSD,2026-06-21 14:00:00,2026-06-21 14:08:00,-1.1544,strategy_suite,2026-06-21 14:00:00+00:00,2026-06-21 14:08:00+00:00,39.07,1.95,-2.25,36.81
NewsPulse,BTCUSD,2026-06-22 14:00:00,2026-06-22 14:01:00,0.3683,strategy_suite,2026-06-22 14:00:00+00:00,2026-06-22 14:01:00+00:00,36.81,1.84,0.68,37.49
NewsPulse,US30,2026-06-22 14:00:00,2026-06-22 14:04:00,0.4356,strategy_suite,2026-06-22 14:00:00+00:00,2026-06-22 14:04:00+00:00,37.49,1.87,0.82,38.31
NewsPulse,US30,2026-06-22 18:00:00,2026-06-22 18:10:00,0.4186,strategy_suite,2026-06-22 18:00:00+00:00,2026-06-22 18:10:00+00:00,38.31,1.92,0.8,39.11
NewsPulse,US30,2026-06-23 12:30:00,2026-06-23 12:33:00,-1.0747,strategy_suite,2026-06-23 12:30:00+00:00,2026-06-23 12:33:00+00:00,39.11,1.96,-2.1,37.01
NewsPulse,XAGUSD,2026-06-23 12:30:00,2026-06-23 13:00:00,-1.1685,strategy_suite,2026-06-23 12:30:00+00:00,2026-06-23 13:00:00+00:00,37.01,1.85,-2.16,34.84
NewsPulse,US30,2026-06-23 18:00:00,2026-06-23 18:00:00,-1.0897,strategy_suite,2026-06-23 18:00:00+00:00,2026-06-23 18:00:00+00:00,34.84,1.74,-1.9,32.95
Grid,AUDUSD,2026-06-24 02:30:00,2026-06-24 02:45:00,-1.1268,strategy_suite,2026-06-24 02:30:00+00:00,2026-06-24 02:45:00+00:00,32.95,1.65,-1.86,31.09
Grid,AUDUSD,2026-06-24 02:45:00,2026-06-24 05:00:00,1.0833,strategy_suite,2026-06-24 02:45:00+00:00,2026-06-24 05:00:00+00:00,31.09,1.55,1.68,32.77
LTA,GBPJPY,2026-06-24 03:30:00,2026-06-24 06:15:00,0.4012,lta_orb_fixed_current,2026-06-24 03:30:00+00:00,2026-06-24 06:15:00+00:00,32.77,1.64,0.66,33.43
NewsPulse,BTCUSD,2026-06-24 12:30:00,2026-06-24 12:49:00,0.3735,strategy_suite,2026-06-24 12:30:00+00:00,2026-06-24 12:49:00+00:00,33.43,1.67,0.62,34.06
NewsPulse,US30,2026-06-24 12:30:00,2026-06-24 12:31:00,0.3477,strategy_suite,2026-06-24 12:30:00+00:00,2026-06-24 12:31:00+00:00,34.06,1.7,0.59,34.65
NewsPulse,XAGUSD,2026-06-24 12:30:00,2026-06-24 12:32:00,-1.1176,strategy_suite,2026-06-24 12:30:00+00:00,2026-06-24 12:32:00+00:00,34.65,1.73,-1.94,32.71
NewsPulse,BTCUSD,2026-06-24 14:00:00,2026-06-24 14:03:00,0.4291,strategy_suite,2026-06-24 14:00:00+00:00,2026-06-24 14:03:00+00:00,32.71,1.64,0.7,33.41
NewsPulse,XAGUSD,2026-06-24 14:00:00,2026-06-24 14:15:00,1.4103,strategy_suite,2026-06-24 14:00:00+00:00,2026-06-24 14:15:00+00:00,33.41,1.67,2.36,35.77
NewsPulse,XAUUSD,2026-06-24 14:00:00,2026-06-24 14:30:00,0.6028,strategy_suite,2026-06-24 14:00:00+00:00,2026-06-24 14:30:00+00:00,35.77,1.79,1.08,36.85
NewsPulse,BTCUSD,2026-06-24 18:00:00,2026-06-24 18:19:00,1.4322,strategy_suite,2026-06-24 18:00:00+00:00,2026-06-24 18:19:00+00:00,36.85,1.84,2.64,39.49
NewsPulse,XAGUSD,2026-06-24 18:00:00,2026-06-24 18:07:00,0.4324,strategy_suite,2026-06-24 18:00:00+00:00,2026-06-24 18:07:00+00:00,39.49,1.97,0.85,40.34
